# file -> 东财 secid 覆盖表（102#/27#/62# 前缀专用；SH#/SZ#/BJ# 用前缀规则即可）
# 生成方式：build_logs/_emit_secids.py 批量快照 + 接口名称逐一核对（宁缺勿错）
102#970070	0.970070
102#980001	0.980001
102#980015	0.980015
102#980016	0.980016
102#980017	0.980017
102#980018	0.980018
102#980022	0.980022
102#980028	0.980028
102#980030	0.980030
102#980032	0.980032
102#980034	0.980034
102#980076	0.980076
102#980080	0.980080
102#980081	0.980081
102#980092	0.980092
102#987008	0.987008
102#987016	0.987016
102#987018	0.987018
102#987022	0.987022
102#987024	0.987024
27#HSCSOE	124.HSCSOE
27#HSHCI	124.HSHCI
27#HSI	100.HSI
27#HSIDI	124.HSIDI
27#HSISC	124.HSISC
27#HSSC50	124.HSSC50
27#HSTECH	124.HSTECH
62#000171	1.000171
62#000806	1.000806
62#000807	1.000807
62#000811	1.000811
62#000812	1.000812
62#000813	1.000813
62#000815	1.000815
62#000821	1.000821
62#000824	1.000824
62#000825	1.000825
62#000859	2.000859
62#000861	2.000861
62#000918	1.000918
62#000919	1.000919
62#000922	1.000922
62#000925	1.000925
62#000936	1.000936
62#000941	1.000941
62#000945	1.000945
62#000948	1.000948
62#000949	1.000949
62#000977	1.000977
62#000995	1.000995
62#704843	2.704843
62#716567	2.716567
62#930050	2.930050
62#930598	2.930598
62#930601	2.930601
62#930604	2.930604
62#930606	2.930606
62#930608	2.930608
62#930614	2.930614
62#930625	2.930625
62#930632	2.930632
62#930633	2.930633
62#930641	2.930641
62#930648	2.930648
62#930651	2.930651
62#930652	2.930652
62#930653	2.930653
62#930662	2.930662
62#930697	2.930697
62#930707	2.930707
62#930708	2.930708
62#930709	2.930709
62#930712	2.930712
62#930713	2.930713
62#930716	2.930716
62#930721	2.930721
62#930725	2.930725
62#930726	2.930726
62#930740	2.930740
62#930743	2.930743
62#930758	2.930758
62#930781	2.930781
62#930782	2.930782
62#930796	2.930796
62#930821	2.930821
62#930839	2.930839
62#930850	2.930850
62#930851	2.930851
62#930901	2.930901
62#930902	2.930902
62#930903	2.930903
62#930910	2.930910
62#930914	2.930914
62#930931	2.930931
62#930939	2.930939
62#930955	2.930955
62#930957	2.930957
62#930965	2.930965
62#930967	2.930967
62#930975	2.930975
62#930986	2.930986
62#930997	2.930997
62#931000	2.931000
62#931008	2.931008
62#931009	2.931009
62#931021	2.931021
62#931024	2.931024
62#931033	2.931033
62#931039	2.931039
62#931052	2.931052
62#931066	2.931066
62#931068	2.931068
62#931071	2.931071
62#931079	2.931079
62#931087	2.931087
62#931088	2.931088
62#931132	2.931132
62#931139	2.931139
62#931140	2.931140
62#931141	2.931141
62#931151	2.931151
62#931152	2.931152
62#931159	2.931159
62#931160	2.931160
62#931165	2.931165
62#931166	2.931166
62#931186	2.931186
62#931187	2.931187
62#931230	2.931230
62#931233	2.931233
62#931235	2.931235
62#931238	2.931238
62#931239	2.931239
62#931241	2.931241
62#931243	2.931243
62#931247	2.931247
62#931248	2.931248
62#931250	2.931250
62#931268	2.931268
62#931271	2.931271
62#931372	2.931372
62#931380	2.931380
62#931393	2.931393
62#931395	2.931395
62#931402	2.931402
62#931403	2.931403
62#931404	2.931404
62#931406	2.931406
62#931409	2.931409
62#931412	2.931412
62#931442	2.931442
62#931447	2.931447
62#931455	2.931455
62#931456	2.931456
62#931461	2.931461
62#931463	2.931463
62#931468	2.931468
62#931469	2.931469
62#931470	2.931470
62#931476	2.931476
62#931480	2.931480
62#931481	2.931481
62#931484	2.931484
62#931487	2.931487
62#931494	2.931494
62#931495	2.931495
62#931521	2.931521
62#931524	2.931524
62#931526	2.931526
62#931529	2.931529
62#931554	2.931554
62#931573	2.931573
62#931574	2.931574
62#931575	2.931575
62#931580	2.931580
62#931582	2.931582
62#931586	2.931586
62#931587	2.931587
62#931588	2.931588
62#931589	2.931589
62#931590	2.931590
62#931591	2.931591
62#931594	2.931594
62#931596	2.931596
62#931637	2.931637
62#931643	2.931643
62#931663	2.931663
62#931695	2.931695
62#931696	2.931696
62#931719	2.931719
62#931733	2.931733
62#931743	2.931743
62#931752	2.931752
62#931755	2.931755
62#931775	2.931775
62#931778	2.931778
62#931785	2.931785
62#931787	2.931787
62#931790	2.931790
62#931798	2.931798
62#931823	2.931823
62#931848	2.931848
62#931855	2.931855
62#931865	2.931865
62#931866	2.931866
62#931892	2.931892
62#931897	2.931897
62#931946	2.931946
62#931992	2.931992
62#931994	2.931994
62#932000	2.932000
62#932037	2.932037
62#932038	2.932038
62#932039	2.932039
62#932052	2.932052
62#932066	2.932066
62#932069	2.932069
62#932087	2.932087
62#932088	2.932088
62#932094	2.932094
62#932217	2.932217
62#932305	2.932305
62#932315	2.932315
62#932365	2.932365
62#932366	2.932366
62#932367	2.932367
62#932368	2.932368
62#932420	2.932420
62#932422	2.932422
62#932431	2.932431
62#932456	2.932456
62#950049	2.950049
62#950096	2.950096
62#950105	2.950105
62#950161	2.950161
62#950162	2.950162
62#950180	2.950180
62#950228	2.950228
62#950333	2.950333
62#950580	2.950580
62#990001	2.990001
62#CES100	2.CES100
62#H11052	2.H11052
62#H11054	2.H11054
62#H11057	2.H11057
62#H11059	2.H11059
62#H11146	2.H11146
62#H11153	2.H11153
62#H30007	2.H30007
62#H30015	2.H30015
62#H30022	2.H30022
62#H30035	2.H30035
62#H30106	2.H30106
62#H30171	2.H30171
62#H30178	2.H30178
62#H30182	2.H30182
62#H30184	2.H30184
62#H30192	2.H30192
62#H30198	2.H30198
62#H30199	2.H30199
62#H30202	2.H30202
62#H30217	2.H30217
62#H30269	2.H30269
62#H30270	2.H30270
62#H30318	2.H30318
62#H30352	2.H30352
62#H30356	2.H30356
62#H30365	2.H30365
62#H30366	2.H30366
62#H30455	2.H30455
62#H30463	2.H30463
62#H30533	2.H30533
62#H30590	2.H30590
62#H30597	2.H30597
62#H50069	2.H50069
SH#999999	1.000001
